"key","Context","en","es-ES","fr","ru","zh-CN","pt-BR","id","fa"
"project.id","project","Project ID","ID del Proyecto","ID du Projet","","项目ID","ID do projeto","ID Proyek","شماره پروژه"
"project.grantId","project","Grant ID","ID de la Beca","ID de Subvention","","基金ID","ID do Financiamento","ID Grant","شماره گرنت"
"project.projectDescription","project","Description","Descripción","Description","","说明","Descrição","Deskripsi","توضیحات"
"project.vernacularIso3CodeAndName","project","Content Language","Idioma del Contenido","Langue de contenu","","内容语言","Língua do conteúdo","Bahasa yang didokumentasi","زبان بافت"
"project.analysisISO3CodeAndName","project","Working Language","Idioma de Trabajo","Langue d'Analyse","","工作语言","Língua de trabalho","Bahasa Komunikasi","زبان کاری"
"project.location","project","Location/Address","Ubicación/Dirección","Adresse","","位置/地址","Localização/Endereço","Lokasi/Alamat","موقعیت مکانی/ آدرس"
"project.region","project","Region","Región","Région","Регион местонахождения","地区","Região","Daerah","منطقه"
"project.country","project","Country","País","Pays","Страна местонахождения","国家","País","Negara","کشور"
"project.continent","project","Continent","Continente","Continent","Континент местонахождения","洲","Continente","Benua","قاره"
"project.Africa","project","Africa","África","Afrique","Африка","非洲","África","Afrika","آفریقا"
"project.Asia","project","Asia","Asia","Asie","Азия","亚洲","Ásia","Asia","آسیا"
"project.Australia","project","Australia","Australia","Australie","Австралия","澳洲","Austrália","Australia","استرالیا"
"project.Europe","project","Europe","Europa","Europe","Европа","欧洲","Europa","Eropah","اروپا"
"project.North-America","project","North-America","Norteamérica","Amérique du Nord","Северная Америка","北美洲","América do Norte","Amerika Utara","آمریکای شمالی"
"project.Middle-America","project","Middle-America","Centroamérica","Amérique centrale","Средняя Америка","中美洲","América Central","Amerika Tengah","آمریکای میانی"
"project.Oceania","project","Oceania","Oceanía","Océanie","Океания","大洋洲","Oceania","Oseania/Oceania","اقیانوسیه"
"project.South-America","project","South-America","Sudamérica","Amérique du Sud","Южная Америка","南美洲","América do Sul","Amerika Selatan","آمریکای جنوبی"
"project.fundingProjectTitle","project","Funding Project Title","Título del Proyecto Financiado","Titre du projet de financement","","资助项目标题","Título do Projeto Patrocinador","Judul proyek yang didanai","عنوان پروژه سرمایه گذاری شده"
"project.accessProtocol","project","Access Protocol used by this project","Protocolo de acceso usado por este proyecto","Protocole d'accès de ce projet","","该项目访问协议","Protocolo de Acesso Usado Por Esse Projeto","Protokol Akses yang digunakan di proyek ini","پروتکل دسترسی استفاده شده در این پروژه"
